x_new, splines-natural, not-a-knot, clamped
27.15, 16.212496787895954, 16.22294569198633, 16.20271274246455
-34.82, 4.527263347279643, 4.140008403402434, 4.526228409515221
0.69, 11.2162581589014, 11.21625815860933, 11.216258159152229
-14.58, -17.26634378342637, -17.266344315028483, -17.26634378484707
-35.35, 13.993767813329963, 13.522645552467708, 13.9925087403933
5.23, -15.612888036083676, -15.612888041480192, -15.612888031031796
1.29, 17.854616079127478, 17.85461607872416, 17.85461607948892
0.83, 13.133025126499211, 13.133025126158863, 13.13302512679523
-45.67, -217.3072451054848, 1095.0558175736346, -213.79995845706287
12.18, -7.902118480187477, -7.902118648475318, -7.902118322607714
