x_new, polinomial, lagrange, numpy
27.15, 52.140992008578394, 52.1412789275551, 219.18830709871906
-34.82, -53297.20349168086, -53297.7007904212, -15585.528915525672
0.69, 12.72747319437245, 12.727473194316504, 9.612939607197232
-14.58, -18.104037125330137, -18.104037130732483, -19.039807840340277
-35.35, -91198.98252138059, -91199.79755669094, -25307.073152939407
5.23, -17.38474756220154, -17.384747562324918, -17.708784280967816
1.29, 19.21333414925082, 19.213334149189905, 16.126698692491242
0.83, 14.755049580001291, 14.755049579939271, 11.516922505390209
-45.67, 9920444809151.637, 9920445708097.293, 1220080016998.9138
12.18, -7.542112810935578, -7.542112810969389, -11.207618668292072
